comment_text,cleaned_comment,Label
NOBODY IS AFFRAID OF TRUMP EVEN KNOW HE'S A PSYCHO MANIAC THE WORLD IS LAUGHING AT HIM BECAUSE THE MAN IS A  FKG IDIOT,nobody is affraid of trump even know hes a psycho maniac the world is laughing at him because the man is a  fkg idiot,
Israel stealing more land killing more children. They’ve been doing this since 1917.  And they think they’re the chosen people. I guess they forgot what GOD not Netanyahu is all about. Remember there is another place call hell.,israel stealing more land killing more children theyve been doing this since 1917  and they think theyre the chosen people i guess they forgot what god not netanyahu is all about remember there is another place call hell,
Victory to Iran,victory to iran,
Bibi....!?   What do I do now?,bibi!?   what do i do now?,
"Nice go ahead,you guys are shameless",nice go aheadyou guys are shameless,
"Iranians now need to step up and defend their rights for freedom, get to it!!!",iranians now need to step up and defend their rights for freedom get to it!!!,
Let's double down on stupid.,lets double down on stupid,
Will not be so fun when Iran can take out the whole regions power stations and oil fields.    😁😅📈🤔👍📈🛢,will not be so fun when iran can take out the whole regions power stations and oil fields,
as i said Iran doesn't give a  crap what Trump wants,as i said iran doesnt give a  crap what trump wants,
Moron,moron,
Trump the buffoon knows he massively underestimated iran,trump the buffoon knows he massively underestimated iran,
You have a child rapist President,you have a child rapist president,
Oh don't forget he's the world's biggest pathological liar,oh dont forget hes the worlds biggest pathological liar,
😂 foxy,foxy,
FBI interviews..Trump hits 13 year old girl for biting his mushroom as he tries to sexually assault her...girl from Epstein allegedly,fbi interviewstrump hits 13 year old girl for biting his mushroom as he tries to sexually assault hergirl from epstein allegedly,
"Pete Hegseth said ''Strait of Hormuz is OPEN'...apart from the fact that Iran shoots at the boats""",pete hegseth said strait of hormuz is openapart from the fact that iran shoots at the boats,
"Trump to the Iranian people... ""Help is underway""
Explain to me MAGA Morons How You Help People By Destroying Their Utilities???","trump to the iranian people help is underway
explain to me maga morons how you help people by destroying their utilities???",
"So,he is going going to commit war crimes in our name. Did God tell him,or did someone tickle the Epstein class button.This is what happens when you elect a deranged self centred monster.He has turned every nation against us, apart from his Israeli boss,
Utter fkn disgrace to humanity.","sohe is going going to commit war crimes in our name did god tell himor did someone tickle the epstein class buttonthis is what happens when you elect a deranged self centred monsterhe has turned every nation against us apart from his israeli boss
utter fkn disgrace to humanity",
What do you expect when you have a paedofile rapist fraudster for a President   ?,what do you expect when you have a paedofile rapist fraudster for a president   ?,
Hey Donald!  Back the f out you Israeli d*g!  This is not America's fight.  Slap that leash out of Netanyahu's hand you b.,hey donald!  back the f out you israeli dg!  this is not americas fight  slap that leash out of netanyahus hand you b,
Be careful what you post. ON THIS SITE. ANY NEGATIVE COMMENTS. WILL PUT YOUR PC AT RISK,be careful what you post on this site any negative comments will put your pc at risk,
He does this hes Fooked ! Simple,he does this hes fooked ! simple,
Hope Israel has plenty of bottled water because they're going to need it soon.,hope israel has plenty of bottled water because theyre going to need it soon,
"Why? US does not need Strait of Hormuz, right. Whats the urgency?",why? us does not need strait of hormuz right whats the urgency?,
Operation Epstein Obfuscation,operation epstein obfuscation,
le capricieux Donald Trump et ses copains les frères Mickey 😂,le capricieux donald trump et ses copains les frères mickey,
We do what we have to do .It is how I like President Trump,we do what we have to do it is how i like president trump,
Trump supporters have Boot Licker Syndrome,trump supporters have boot licker syndrome,
Fox News will pay the consequences for this.,fox news will pay the consequences for this,
There is only one way out of this. Nuke the entire country of Iran,there is only one way out of this nuke the entire country of iran,
"Inept, ridiculous and ignorant. He has not even learned anything from these three weeks of his special military operation influenced by Bibi. 🤡",inept ridiculous and ignorant he has not even learned anything from these three weeks of his special military operation influenced by bibi,
This the first time I’ve watch a Fox News video in years. Do people actually watch this trash?,this the first time ive watch a fox news video in years do people actually watch this trash?,
"47 years everyone ignored Iranian regime, and many presidents told Iranian “ Don’t” . The only President who is wise it’s going to finish this evil regime 😘🙏🩷May God protect our troops and protect Israel ✝️❤️🙏🩷",47 years everyone ignored iranian regime and many presidents told iranian  dont  the only president who is wise its going to finish this evil regime may god protect our troops and protect israel,
TRUMP HAS WON THE WAR Spread the word,trump has won the war spread the word,
the orange conman thinks he can make demands of the persian empire. he cannot defeat the persian empire. he is a loser.,the orange conman thinks he can make demands of the persian empire he cannot defeat the persian empire he is a loser,
"Beyond the broader principle, the issue is not limited to Kharg Island. It also includes Kish, a number of smaller islets, and even islands internationally recognized as Emirati territory but still held by Iran. If control over these positions were to shift, Iran would face a severe strategic setback. Such an outcome would not only weaken its regional posture but also allow the United States to impose a decisive psychological and operational advantage, shaping perceptions of victory.",beyond the broader principle the issue is not limited to kharg island it also includes kish a number of smaller islets and even islands internationally recognized as emirati territory but still held by iran if control over these positions were to shift iran would face a severe strategic setback such an outcome would not only weaken its regional posture but also allow the united states to impose a decisive psychological and operational advantage shaping perceptions of victory,
Children all over the world need to learn that threatening and using violence is often not the best way to achieve your goals.,children all over the world need to learn that threatening and using violence is often not the best way to achieve your goals,
Trump lost in between Epstn island and Hormuz straight in his infamous Operation Epstein Furry,trump lost in between epstn island and hormuz straight in his infamous operation epstein furry,
Republicans and democrats block the 200 billion for the stupid war.,republicans and democrats block the 200 billion for the stupid war,
"Most of the US military voted for Trump. They are now in the ""find out"" phase of FAFO.",most of the us military voted for trump they are now in the find out phase of fafo,
"Is they oil, they can do whatever they want.  😂😂😂",is they oil they can do whatever they want,
King Tacos deadline from 2wks to 2days what's next the 2min warning at least he didn't give the tariff threat.. yet 🤡,king tacos deadline from 2wks to 2days whats next the 2min warning at least he didnt give the tariff threat yet,
That is absolutely insane. This administration is out of control and needs to be stopped.,that is absolutely insane this administration is out of control and needs to be stopped,
Does anybody on Fox or this administration have a brain. This is how you fight a war.? No plan just make threats. God help us.,does anybody on fox or this administration have a brain this is how you fight a war? no plan just make threats god help us,
trump exposed on the KATIE JOHNSON video,trump exposed on the katie johnson video,
"Donald, you’re here to overthrow the Iranian regime. If you attack the power stations, you’ll be targeting the Iranian people and committing war crimes.",donald youre here to overthrow the iranian regime if you attack the power stations youll be targeting the iranian people and committing war crimes,
May be China s message through the detection of F35 and the new launched missiles was not a clear message yet! Keep trying to collapse the Chinese economy and wait for their response. Have we learn anything from the proxy war in Ukraine?,may be china s message through the detection of f35 and the new launched missiles was not a clear message yet! keep trying to collapse the chinese economy and wait for their response have we learn anything from the proxy war in ukraine?,
Such pawns fox news is,such pawns fox news is,
Stop war drink eaat is stoped. .mental .treat in hospital,stop war drink eaat is stoped mental treat in hospital,
Why didnt he just demand it earlier lol,why didnt he just demand it earlier lol,
FAFO.,fafo,
Well that would be a war crime Donald. Hospitals need electricity Donald. Smh,well that would be a war crime donald hospitals need electricity donald smh,
Isn't this a war crime? Shouldn't they send a arrest warrant for a war criminal?,isnt this a war crime? shouldnt they send a arrest warrant for a war criminal?,
demand? !!go demand your wife...clown lol,demand? !!go demand your wifeclown lol,
Oh and trump wants to help the people of iran just shows how reckless this charlie uniform november tango is,oh and trump wants to help the people of iran just shows how reckless this charlie uniform november tango is,
Taco'd around and found out,tacod around and found out,
Any American who still believes what Trump and his puppets say are beyond help...,any american who still believes what trump and his puppets say are beyond help,
Fox is praising Trump for tweeting out a war crime threat!Please somebody from fox respond and let me know what da Hell is wrong with you!,fox is praising trump for tweeting out a war crime threat!please somebody from fox respond and let me know what da hell is wrong with you!,
Trump seems to think he has clout. The world has rejected him.,trump seems to think he has clout the world has rejected him,
FORCE it open !,force it open !,
"We are all paying for this baffoons blunder. He and his rich buddies however are reaping the benefits, especailly Putin who prior to this Iranian blunder was making less than 30 bucks below market on their oil. Now Trump ""the moron"" lifts sauctions on Russian oil to alleviate the global market price spike and he (Putin) is now making 200 million a day. LOL. Putin is sitting back laughing at the old man.",we are all paying for this baffoons blunder he and his rich buddies however are reaping the benefits especailly putin who prior to this iranian blunder was making less than 30 bucks below market on their oil now trump the moron lifts sauctions on russian oil to alleviate the global market price spike and he putin is now making 200 million a day lol putin is sitting back laughing at the old man,
"Brilliant observation from Martin Armstrong....""...It looks like this will get crazier for the next two weeks. Trump is going to get a lesson in market behavior.....""",brilliant observation from martin armstrongit looks like this will get crazier for the next two weeks trump is going to get a lesson in market behavior,
Without power wouldn't be good at all. Very dangerous then,without power wouldnt be good at all very dangerous then,
Taco isn't giving them his famous 2 weeks? No American  i know is supporting this republican war,taco isnt giving them his famous 2 weeks? no american  i know is supporting this republican war,
"Trump demands it by lifting oil sanction on Iran... big Fff Joke.
I shoot you on this side and you give the world oil on the other side.","trump demands it by lifting oil sanction on iran big fff joke
i shoot you on this side and you give the world oil on the other side",
You know Trump is in the wrong when a foxnews video is full with complains about his actions 😅,you know trump is in the wrong when a foxnews video is full with complains about his actions,
wow a president threatening a any country with the blunt application of war crimes should be impeached asap,wow a president threatening a any country with the blunt application of war crimes should be impeached asap,
Trump said several times that Iran was already obliterated... Does he even know what the word means??,trump said several times that iran was already obliterated does he even know what the word means??,
2+billion they want for a war to cover up the trumpstein files is insane,2billion they want for a war to cover up the trumpstein files is insane,
trumps brainfarting at an alarming rate😂😂😂,trumps brainfarting at an alarming rate,
"An Iranian here, 
the regime that kills their own people doesn't care about infrastructure","an iranian here 
the regime that kills their own people doesnt care about infrastructure",
Have my check ready soon you worthless idiot,have my check ready soon you worthless idiot,
Treason  ... trump exucuted Americans on our streets  ...,treason   trump exucuted americans on our streets,
"Stupid and idiot President. No body listen to you anymore, idiot !!",stupid and idiot president no body listen to you anymore idiot !!,
Psychopath,psychopath,
"The 🤡 is getting desperate ... but wait, isn't his nicknamed TACO for a reason 😂😂😂😂😂😂😂",the  is getting desperate  but wait isnt his nicknamed taco for a reason,
USA and Israel want to enslave the whole world. They must be stopped by ANY means.,usa and israel want to enslave the whole world they must be stopped by any means,
"A brilliant idea by a brilliant president, let's see how that works out",a brilliant idea by a brilliant president lets see how that works out,
Sounds like a petulant child have another temper tantrum.  Time to hide the Ketchup bottles,sounds like a petulant child have another temper tantrum  time to hide the ketchup bottles,
Donald you see it is more mess than you anticipated right?... I know,donald you see it is more mess than you anticipated right? i know,
"Just so you know, bombing power plants is a war crime. Don’t expect Fox News to be honest with you about that though.",just so you know bombing power plants is a war crime dont expect fox news to be honest with you about that though,
So  America are now committing war crimes in plain sight,so  america are now committing war crimes in plain sight,
No one should be president over 60 years old EVER,no one should be president over 60 years old ever,
Trump is a joke! 😂😂😂😂😂,trump is a joke!,
Trump will go down in history as the country's most incompetent president and a friend of Putin and Epstein. He will lead the Republican Party to ruin.,trump will go down in history as the countrys most incompetent president and a friend of putin and epstein he will lead the republican party to ruin,
Yawn!,yawn!,
I didn’t think negative iq was a thing but maga proved me wrong lol we are so cooked,i didnt think negative iq was a thing but maga proved me wrong lol we are so cooked,
"""Thank goodness president Trump is running this""... Wat 🥴",thank goodness president trump is running this wat,
WAF 🐶WAF🐶 WAF🐶 WAF 🐶 and thank you 4 your attention. 😂,waf waf waf waf  and thank you 4 your attention,
Trump and Netanyahu started all this....,trump and netanyahu started all this,
"So we already won and if Iran doesn’t have any missiles anymore, and has no military, and has no navy, then how the hell are they able to keep attacking Tel Aviv daily as well as close the strait of Hormuz?",so we already won and if iran doesnt have any missiles anymore and has no military and has no navy then how the hell are they able to keep attacking tel aviv daily as well as close the strait of hormuz?,
"NO KINGS III NATIONWIDE MARCH 28, 2026",no kings iii nationwide march 28 2026,
You heard the orange madman!!! Better had obey iran!!!! We can and will blow your butts up!!!! The entire nation wants to commit mass suicide fighting the US???? Its your deaths!!??,you heard the orange madman!!! better had obey iran!!!! we can and will blow your butts up!!!! the entire nation wants to commit mass suicide fighting the us???? its your deaths!!??,
How can you laugh?,how can you laugh?,
"The Strait of Hormuz is fully open but not if you keep attacking Iran, simples.",the strait of hormuz is fully open but not if you keep attacking iran simples,
Did Trump not say that Hormuz isnt important and China and Japan should solve it alone?,did trump not say that hormuz isnt important and china and japan should solve it alone?,
Best way to make radical islamists understand is  hit them wih big weapons.,best way to make radical islamists understand is  hit them wih big weapons,
"Tactics of a 5 year old. You never tell your enemies what you are going to do. 

Looks good on twitter though I suppose. 

The Allies would happily help America if the president wasn’t a moron.","tactics of a 5 year old you never tell your enemies what you are going to do 

looks good on twitter though i suppose 

the allies would happily help america if the president wasnt a moron",
stick it up yr,stick it up yr,
You idiots make me sick with your bulshit,you idiots make me sick with your bulshit,
"Bombing civilian infrastructure can be considered a war crime if it is carried out indiscriminately, disproportionately, or without military necessity.",bombing civilian infrastructure can be considered a war crime if it is carried out indiscriminately disproportionately or without military necessity,
Your buddy the president is a bigger idiot than the CEO of Fox,your buddy the president is a bigger idiot than the ceo of fox,
Trump still doesn't understand that Iran is very happy for Trump to keep going up the escalation ladder. Iran's best weapon is to make sure America are Israel don't come back a third time and it's best military weapon against a superpower is to create regional and world economic instability to cause Trump a world of political pain.,trump still doesnt understand that iran is very happy for trump to keep going up the escalation ladder irans best weapon is to make sure america are israel dont come back a third time and its best military weapon against a superpower is to create regional and world economic instability to cause trump a world of political pain,
Even the Iranians are smarter than this dumb bastard,even the iranians are smarter than this dumb bastard,
"The president has shared the plan ❤He does not have to, he need not everyone must note In all the scheme of things Iran should simply listen to the US",the president has shared the plan he does not have to he need not everyone must note in all the scheme of things iran should simply listen to the us,
Come Open It Talmudists.,come open it talmudists,
"Failing to open the Strait of Hormuz soon will lead to great opposition of the world. Trump only thinks in governments, not in people. And people, estimated 5 to 7 billion asking AI, are affected by higher petrol/diesel prices, more expensive electricity/heating and Increased transport costs. People care about their daily life again. We're fatigued by this war.",failing to open the strait of hormuz soon will lead to great opposition of the world trump only thinks in governments not in people and people estimated 5 to 7 billion asking ai are affected by higher petroldiesel prices more expensive electricityheating and increased transport costs people care about their daily life again were fatigued by this war,
"America's Foreign Policy Failures : Vietnam, Iraq, Aghanistan, Bay of Pigs, Iran Revolution 1979, Somalia, Libya etc, etc. Don't you ever learn and wonder why hundreds of millions of people hate you.  Trumps Foreign Policy : Threaten and If that doesn't work.... Bomb ... and if that doesn't work.... blame and leave the mess for others to deal with. Do some research Fox News !!",americas foreign policy failures  vietnam iraq aghanistan bay of pigs iran revolution 1979 somalia libya etc etc dont you ever learn and wonder why hundreds of millions of people hate you  trumps foreign policy  threaten and if that doesnt work bomb  and if that doesnt work blame and leave the mess for others to deal with do some research fox news !!,
"Who are the terrorists? America is, and I supported Trump earlier.",who are the terrorists? america is and i supported trump earlier,
trump is a loser tanking American economy,trump is a loser tanking american economy,
Are these commentators living in an alternative reality?,are these commentators living in an alternative reality?,
Operation epic FAFO,operation epic fafo,
"Pakistan should ally up with the US and invade Iran via its shared border.
The Pakistan Army, with US air support, could then take all of the Iranian coastline from the Gulf of Oman up to the outskirts of Basrah on the Persin Gulf therefore securing the entire area.
USA All the Way!","pakistan should ally up with the us and invade iran via its shared border
the pakistan army with us air support could then take all of the iranian coastline from the gulf of oman up to the outskirts of basrah on the persin gulf therefore securing the entire area
usa all the way!",
Smash them 🇺🇸☝️,smash them,
It was always in the back of their minds to hit it.,it was always in the back of their minds to hit it,
What does he think?? Does he think Iran roll over and listen to him? He is a toddler…he has gotten us into a war we won’t get out of,what does he think?? does he think iran roll over and listen to him? he is a toddlerhe has gotten us into a war we wont get out of,
"The issue needs Leaders of Nations globally to consider establishing God's Promised Land as per the Biblical reference NUMBERS Chapter 34 and LEVITICUS Chapter 25 which would bring PEACE by slight relocation of affected persons to meet God's purpose be done. If this is not considered, I would say ""Zero"" possibility for a permanent solution to STOP war.",the issue needs leaders of nations globally to consider establishing gods promised land as per the biblical reference numbers chapter 34 and leviticus chapter 25 which would bring peace by slight relocation of affected persons to meet gods purpose be done if this is not considered i would say zero possibility for a permanent solution to stop war,
"If Trump bombs their power plants, that will be disastrous for all the civilians he wanted to ""save"".",if trump bombs their power plants that will be disastrous for all the civilians he wanted to save,
You caused all these problems. Never forget that. He is now threatening to take Greenland and Cuba. What a mess.,you caused all these problems never forget that he is now threatening to take greenland and cuba what a mess,
Trumpederast es un hijo de put4,trumpederast es un hijo de put4,
What can he do in 48 hours that he can't do now?,what can he do in 48 hours that he cant do now?,
Foxaganda,foxaganda,
The pundits on Fox are indeed WhiteHouse cheerleaders.,the pundits on fox are indeed whitehouse cheerleaders,
This war needs to stop now. He is a billionaire and doesn't care if what he does will increase living costs. Shame on fox news for constantly praising this lunatic.,this war needs to stop now he is a billionaire and doesnt care if what he does will increase living costs shame on fox news for constantly praising this lunatic,
"As if!!!!!! TRUMPLE and HOGSBREATH must have got their military advice from fox news, a total disaster that just shows Americans as arrogant.",as if!!!!!! trumple and hogsbreath must have got their military advice from fox news a total disaster that just shows americans as arrogant,
I will smile when Iran destroys Israel's desalination plant. Then they will slowly be wiped out. Let's go Iran!!!,i will smile when iran destroys israels desalination plant then they will slowly be wiped out lets go iran!!!,
This is escalating to a ground action. The ultimatum is theatre. Power will be denied to the enemy before boots hit the ground. 😎🇺🇸🇮🇱,this is escalating to a ground action the ultimatum is theatre power will be denied to the enemy before boots hit the ground,
The bible warns us about evil men like trump,the bible warns us about evil men like trump,
I can't believe this imbecile is ruining the entire world!!!😮,i cant believe this imbecile is ruining the entire world!!!,
All these dipshit news casters talking heads what a waste.,all these dipshit news casters talking heads what a waste,
America announcing that in 48hours it will commit a war crime. 🤯,america announcing that in 48hours it will commit a war crime,
"These idiots are trying to hide the obvious foolishness coming out of their mouths. 

Producers of Fox News are an absolute joke for forcing these reporters to say things they clearly don’t want to believe. 

As an Australian the US are the most despised country in the world right now, for starting a war that has had negative ripple effects around the world.","these idiots are trying to hide the obvious foolishness coming out of their mouths 

producers of fox news are an absolute joke for forcing these reporters to say things they clearly dont want to believe 

as an australian the us are the most despised country in the world right now for starting a war that has had negative ripple effects around the world",
As if they’re going to take notice of an orange clown 🤡,as if theyre going to take notice of an orange clown,
"448-page report by MUELLER: WHILE THIS REPORT DOES NOT CONCLUDE THAT TRUMP COMMITTED A CRIME, IT ALSO DOES NOT ACQUIT HIM!!!
TRUMP: I HAVE BEEN COMPLETELY EXONERATED!!","448page report by mueller while this report does not conclude that trump committed a crime it also does not acquit him!!!
trump i have been completely exonerated!!",
Hahah why can’t he force Iran if he destroyed them ?,hahah why cant he force iran if he destroyed them ?,
"win win win， America win big
🎉🎉🎉",win win win america win big,
Operation Epic Stupidity,operation epic stupidity,
Yall voted for this we would’ve been better off with Kamala at this point,yall voted for this we wouldve been better off with kamala at this point,
"why hasnt anyone taken dumpy trumpy out yet, he is a clear and present danger. iran will do it, its slowly strangling him. and for the fools who voted for him, is america great yet? nato will not help you whilst this dickhead runs your country. fdc americans",why hasnt anyone taken dumpy trumpy out yet he is a clear and present danger iran will do it its slowly strangling him and for the fools who voted for him is america great yet? nato will not help you whilst this dickhead runs your country fdc americans,
Liars puppets show😅,liars puppets show,
"I don't understand how anyone can believe Fox news. The first thing democrats need to do is change the FCC rules on news organizations. Misinformation needs to be eliminated on news organizations. If you watch international news, they tell a completely different story.",i dont understand how anyone can believe fox news the first thing democrats need to do is change the fcc rules on news organizations misinformation needs to be eliminated on news organizations if you watch international news they tell a completely different story,
Tucker Carlson resigned from this Fox 🦊 news 🗞️ because he is honest man.,tucker carlson resigned from this fox  news  because he is honest man,
Hahahahaha Hahahahaha Hahahahaha,hahahahaha hahahahaha hahahahaha,
Is his stomping his feet and throwing things yet?,is his stomping his feet and throwing things yet?,
Ce dommage que la balle n' lui pas touché le cervelle,ce dommage que la balle n lui pas touché le cervelle,
"Americans, Europeans, Israelis, and Saudi Arabs need to understand that an independent Kurdistan is necessary. When Iran and Türkiye build nuclear bombs, who among you will be safe?",americans europeans israelis and saudi arabs need to understand that an independent kurdistan is necessary when iran and türkiye build nuclear bombs who among you will be safe?,
Go USA❤Thank you President Trump.,go usathank you president trump,
"How about the American People give Donny 48hrs to 
RELEASE THE TRUMP FILES!
🤨😡😤🤬😠🤨🤬🤨😤😠","how about the american people give donny 48hrs to 
release the trump files!",
I’m glad I didn’t vote for him,im glad i didnt vote for him,
😅😅😅😅😂😂😂😂 Let's see who blinks. TACO  or those that are looking forward to being martyred?,lets see who blinks taco  or those that are looking forward to being martyred?,
"Trump said soldiers are suckers and losers. Trump is a 5 time draft dodger. Trump wants to send you and your kids to fight in his war ( draft for men and women)…to die and be maimed in Netanyahu’s war. Will Trumps kids be drafted, or will they have bone spurs…like their dad? 

In 2018, in France, Trump canceled a visit to Aisne American Cemetery saying “Why should I go to that cemetery? It’s filled with losers.” 

On the same trip to France 2018…Trump referred to more than 1,800 Marines who lost their lives at Bellleau Woods as “Suckers for getting killed”. 


John Kelly, former White House chief of staff… confirmed Trumps statements. 

In 2015, Trump said of Senator John McCain, who was a Prisoner of War in Vietnam for 51/2 years….”He’s no hero. I like people who weren’t captured”.

Trump has disdain for soldiers, especially ones who have died or were captured. 

Trump is a 5 time draft dodger. He  never went to war. Trumps family never served.","trump said soldiers are suckers and losers trump is a 5 time draft dodger trump wants to send you and your kids to fight in his war  draft for men and womento die and be maimed in netanyahus war will trumps kids be drafted or will they have bone spurslike their dad? 

in 2018 in france trump canceled a visit to aisne american cemetery saying why should i go to that cemetery? its filled with losers 

on the same trip to france 2018trump referred to more than 1800 marines who lost their lives at bellleau woods as suckers for getting killed 


john kelly former white house chief of staff confirmed trumps statements 

in 2015 trump said of senator john mccain who was a prisoner of war in vietnam for 512 yearshes no hero i like people who werent captured

trump has disdain for soldiers especially ones who have died or were captured 

trump is a 5 time draft dodger he  never went to war trumps family never served",
So it's civilians now...,so its civilians now,
"Or what? Better talk to , GCC, and Kuwait their energy sectors will be leveled as well.",or what? better talk to  gcc and kuwait their energy sectors will be leveled as well,
The Epstein leader though it was the way they destroyed many young people in Epstein file horror in Europe 🥲 😢,the epstein leader though it was the way they destroyed many young people in epstein file horror in europe,
Your idiot in chief is wrecking the planet. Bravo.,your idiot in chief is wrecking the planet bravo,
"24 hrs ago US didn't need the strait and it was the job of other countries to keep it open , was it another  presidential Brain Fart?",24 hrs ago us didnt need the strait and it was the job of other countries to keep it open  was it another  presidential brain fart?,
"Trump didn't stop when little girls said no, either.",trump didnt stop when little girls said no either,
can't wait till the 48 hours are over.... nuke the power plants pls,cant wait till the 48 hours are over nuke the power plants pls,
"Iran war going as planned, says Fox News presenter after taking their daily blue pill.",iran war going as planned says fox news presenter after taking their daily blue pill,
One guy can easily ruin his own country,one guy can easily ruin his own country,
"Fox 🦊 News 🗞️ is support of  Trumps administration ( Trump regime) . We are sure that Trump is a liar, corrupt, incompetent and arrogant. So the Fox 🦊 news become also False News",fox  news  is support of  trumps administration  trump regime  we are sure that trump is a liar corrupt incompetent and arrogant so the fox  news become also false news,
"Why did he demand that on Saturday because he wants to play with Market price because all idiots now they’re gonna put the money and buy oil. Are they gonna think the Trump is gonna get to the action and that mean is the old price is gonna spike so they can make money that’s all this is a market market action and play game. They just playing a game with people investment with people money they calling everyone companies big ones a small ones, and this is the game of the money making and nothing else.",why did he demand that on saturday because he wants to play with market price because all idiots now theyre gonna put the money and buy oil are they gonna think the trump is gonna get to the action and that mean is the old price is gonna spike so they can make money thats all this is a market market action and play game they just playing a game with people investment with people money they calling everyone companies big ones a small ones and this is the game of the money making and nothing else,
"""Truth"" means ""Pravda"" in Russian.  Another coincidence Agent Trumpsky?",truth means pravda in russian  another coincidence agent trumpsky?,
"Iran is a huge country and we are only 3 weeks in this war so Trump is doing great like always, he’s a genius",iran is a huge country and we are only 3 weeks in this war so trump is doing great like always hes a genius,
War criminals. They are so desperate that they are thinking of destroying the civilians’ power plants. Now I understand why USA = The Great Satan,war criminals they are so desperate that they are thinking of destroying the civilians power plants now i understand why usa  the great satan,
Is it really gonna drop everything at the pump because the government doesn’t care about the state of emergency in Hawaii?,is it really gonna drop everything at the pump because the government doesnt care about the state of emergency in hawaii?,
No more Trump flags in my area lol.,no more trump flags in my area lol,
Trump is talking to son Barron and members of his family 😂😂😂,trump is talking to son barron and members of his family,
This is the most stupid thing to do 😅😅😅,this is the most stupid thing to do,
I demand project 2029 starts three years earlier.....,i demand project 2029 starts three years earlier,
"3X trump voter telling you that you sound like fools. Please stop with trump wants peace. He ran on no wars and no regime change, and that's all he has done... Again, you sound like a bunch of fools from CNN during covid. 
Jesus Christ is King!
God bless our troops","3x trump voter telling you that you sound like fools please stop with trump wants peace he ran on no wars and no regime change and thats all he has done again you sound like a bunch of fools from cnn during covid 
jesus christ is king!
god bless our troops",
Putin's puppy is throwing a hissy fit.,putins puppy is throwing a hissy fit,
"We don’t need help, we do need help, we’re not going to open the strait we don’t use it, you’ve got 48 hours to open it…..what a total moron and what a pathetic country.",we dont need help we do need help were not going to open the strait we dont use it youve got 48 hours to open itwhat a total moron and what a pathetic country,
"Trump is calling other nations cowards, blaming every one else for this mess he created. He was the stupid idiot who started it. shame.",trump is calling other nations cowards blaming every one else for this mess he created he was the stupid idiot who started it shame,
This channel is hilarious 😅😅😅,this channel is hilarious,
Can't you guys see ww3 coming? Nations will fed up with this and begin to take sides and all will be hell,cant you guys see ww3 coming? nations will fed up with this and begin to take sides and all will be hell,
"Clown “ news”
Bombing for peace by the no more wars president 😂","clown  news
bombing for peace by the no more wars president",
FYI targeting civilian power plants is a war crime.,fyi targeting civilian power plants is a war crime,
"The Strait of Hormuz is open, just not to the US & Israel, but I guess its Fox News, so they have to report Garbage",the strait of hormuz is open just not to the us  israel but i guess its fox news so they have to report garbage,
ahhhh FOX news... such a reliable source of information 🤣🤣🤣🤣🤣,ahhhh fox news such a reliable source of information,
Global nuisance award 😂,global nuisance award,
Or what? You’ll bomb them?,or what? youll bomb them?,
"Well done America, your stupidity knows no bounds.",well done america your stupidity knows no bounds,
Trump deadline is a joke how forgetful are the white who support him ? In the start of his war he said he would break them and it will be done in 4 to 5 days and now he threatens to hit what supplies the innocent with electricity and if he does then the ships at sea must be hit also and remove from the area and it will be opened up have you given that thought or as you get away with wickedness in america and cover your lies you think you can against others. Smh that’s the thought of white control do what you want and take what you want and make demands,trump deadline is a joke how forgetful are the white who support him ? in the start of his war he said he would break them and it will be done in 4 to 5 days and now he threatens to hit what supplies the innocent with electricity and if he does then the ships at sea must be hit also and remove from the area and it will be opened up have you given that thought or as you get away with wickedness in america and cover your lies you think you can against others smh thats the thought of white control do what you want and take what you want and make demands,
It may be time for section 4 of the 25th amendment.,it may be time for section 4 of the 25th amendment,
Trump losing respect all around the globe...sad,trump losing respect all around the globesad,
"If he comes through with his 48 hour deadline, then that is a 100% war crime, no doubt about that. Intentionally choosing to start a war that negatively affects hundreds of millions of world citizens, is not only careless & reckless, it's unholy & unrighteous😞",if he comes through with his 48 hour deadline then that is a 100 war crime no doubt about that intentionally choosing to start a war that negatively affects hundreds of millions of world citizens is not only careless  reckless its unholy  unrighteous,
"Stop saying, ""We'll do this to you if they don't do that."" That's playing games. Instead, strike them hard and without hesitation. Don't tell the enemy what you're going to do, and don't wait for their reaction or threats. Strike again and again before they even think about how to respond. You're still playing games and still giving them room to maneuver. This only leads to losses for you. Show no mercy to the enemy in war, because mercy in this situation is a loss against you and a crime against yourself. Don't expect anything from the enemy; just crush them with force. The keys are in your hands; why hand them over to the enemy for free?",stop saying well do this to you if they dont do that thats playing games instead strike them hard and without hesitation dont tell the enemy what youre going to do and dont wait for their reaction or threats strike again and again before they even think about how to respond youre still playing games and still giving them room to maneuver this only leads to losses for you show no mercy to the enemy in war because mercy in this situation is a loss against you and a crime against yourself dont expect anything from the enemy just crush them with force the keys are in your hands why hand them over to the enemy for free?,
Oh yu hv frying oil,oh yu hv frying oil,
Wht u want from strait of Hormuz mr dt uv said u hv more oil than Russia iran and Qatar together,wht u want from strait of hormuz mr dt uv said u hv more oil than russia iran and qatar together,
Im from Iran 😂 🔥 let's dance tango we going to fight good😂😂😂😂 welcome to Iran 🚀🔥🚀🔥🚀🔥🚀💪🏻💪🏻💪🏻📡🛰️🚀🔥🚀🔥,im from iran   lets dance tango we going to fight good welcome to iran,
